[2025-05-05 15:24:22] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = Array
[2025-05-05 15:26:21] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 2
[2025-05-05 15:28:25] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 3
[2025-05-05 17:00:00] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 4
[2025-05-05 17:04:57] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 5
[2025-05-05 17:08:06] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 6
[2025-05-05 17:10:12] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 7
[2025-05-05 17:12:48] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 8
[2025-05-05 17:14:51] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 9
[2025-05-05 17:16:01] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 10
[2025-05-05 17:17:48] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 11
[2025-05-05 17:20:06] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 12
[2025-05-05 17:20:39] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 13
[2025-05-05 17:23:06] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 14
[2025-05-05 17:23:11] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 15
[2025-05-05 17:25:42] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_incremento_salario` WHERE `id_inc` = 16
[2025-05-06 11:24:23] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_rel_rubro` WHERE `id_relacion` = 20
[2025-05-06 16:30:01] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_causacion` WHERE `id_causacion` = 354
[2025-05-06 17:19:36] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_causacion` WHERE `id_causacion` = 23
[2025-05-29 14:36:53] Usuario: 365-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `nom_contratos_empleados` WHERE `id_contrato_emp` = 54
