[2026-01-06 12:36:59] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145274;
[2026-01-06 12:42:30] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145275;
[2026-01-06 12:46:02] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145276;
[2026-01-07 10:59:33] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145278;
[2026-01-07 12:27:28] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145280;
[2026-01-07 14:25:53] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145282;
[2026-01-07 14:47:05] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145283;
[2026-01-07 14:59:28] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145288;
[2026-01-07 15:01:30] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145289;
[2026-01-07 15:01:37] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145290;
[2026-01-07 15:25:13] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145291;
[2026-01-07 15:25:17] Usuario: 1-ADMINN ADMINP, 127.0.0.1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145292;
