id_lote,id_med,cod_medicamento,nom_medicamento,lote,estado_articulo,estado_lote,existencia,val_promedio,fec_vencimiento
4691,16485,16485,ACEITE MINERAL BOTELLA X 500 ML,3569,Activo,Activo,0,0.0000,2040-12-30
4692,16485,16485,ACEITE MINERAL BOTELLA X 500 ML,F049,Activo,Activo,0,0.0000,2027-07-30
4847,16485,16485,ACEITE MINERAL BOTELLA X 500 ML,F065,Activo,Activo,0,0.0000,2027-09-30
242,15699,15699,ACETAMINOFEN 100 MG / 30 ML GOTAS,L2022242,Activo,Activo,0,0.0000,2026-12-31
439,15699,15699,ACETAMINOFEN 100 MG / 30 ML GOTAS,L2022242,Activo,Activo,0,0.0000,2026-12-31
1642,15699,15699,ACETAMINOFEN 100 MG / 30 ML GOTAS,L2022242,Activo,Activo,0,0.0000,2026-12-31
4099,15699,15699,ACETAMINOFEN 100 MG / 30 ML GOTAS,22402,Activo,Activo,0,0.0000,2025-07-01
267,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,L2022267,Activo,Activo,0,0.0000,2026-12-31
828,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,L2022267,Activo,Activo,0,0.0000,2026-12-31
1187,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,L2022267,Activo,Activo,0,0.0000,2026-12-31
1527,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,L2022267,Activo,Activo,0,0.0000,2026-12-31
4159,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,94258,Activo,Activo,0,0.0000,2027-10-30
4160,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,24D137,Activo,Activo,0,0.0000,2026-09-30
4161,15698,15698,ACETAMINOFEN 150 MG FCO X 60 ML,G03904,Activo,Activo,0,0.0000,2026-02-28
1,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
461,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
593,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
723,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
833,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
954,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1069,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1196,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1302,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1388,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
1653,15696,15696,ACETAMINOFEN 150 MG FCO X120 ML,L2022001,Activo,Activo,0,0.0000,2026-12-31
