[2025-12-16 09:28:39] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_factura` WHERE `id_cta_factura` = 1484
[2025-12-16 11:34:55] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_causa_retencion WHERE id_causa_retencion = 4249
[2025-12-17 08:43:33] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145252
[2025-12-17 08:45:50] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145253
[2025-12-17 08:47:46] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145254
[2025-12-17 08:50:16] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145255
[2025-12-17 08:53:36] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM ctb_doc WHERE id_ctb_doc = 145256
[2025-12-17 10:25:07] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_libaux` WHERE `id_ctb_libaux` = 522011
[2025-12-18 10:36:40] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145259
[2025-12-18 10:43:51] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145260
[2025-12-18 11:22:43] Usuario: 1-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `ctb_doc` WHERE `id_ctb_doc` = 145261
